『木田さんと原発、そして日本』、ベルギー・ブリュッセルで上映されます！,2014-10-12,"2014年11月29日（土）、『木田さんと原発、そして日本』（英語字幕付版）が、ベルギー・ブリュッセルのCinema Novaで上映されます。震災特集「Cinema With Us」プログラムの一環として上映されます。上映後には、監督と木田節子さんがスカイプで会場と質疑応答をします（日本時間11月30日朝6:10～！）。その様子をツイキャスで生中継するかもしれません？　詳しくはツイッター等でアナウンスします。どんな質疑応答になるのか、乞うご期待！　上映について詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。ベルギーにお知り合いがいる方は是非お知らせくださればうれしいです。"
『さようならUR』、三鷹いのちと平和映画祭で上映されます！,2014-10-12,"2014年11月29日（土）、『さようならUR』が三鷹いのちと平和映画祭で上映されます。上映時間は後日発表しますが、おそらく午後か夕方ごろになるかと思います。上映終了後に監督トークも予定。とびきり美味しい食事とお酒が自慢の懇親会もあります！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『ホームレスごっこ』、東京・飯田橋にて上映されます！,2014-10-12,"2014年12月3日（水）、『ホームレスごっこ』が飯田橋の東京ボランティア・市民活動センターで上映されます。主催はVIDEO ACT!で、第72回VIDEO ACT!上映会～「ホームレス」とは誰か～としての上映です。『ホームレスごっこ』の他、『VJU REPORT Vol.7 ジェントリフィケーション　虚飾の影の野宿者排除』（遠藤大輔監督、23分）、『「ホームレス」と出会う子どもたち』（飯田基晴監督、30分）も上映され、上映後には3監督によるトークとディスカッションがあります。是非いらしてください！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
せんだいメディアテーク「記憶と想起　イメージの家を歩く」展に参加します！,2014-10-12,"2014年11月15日（土）～2015年1月12日（月）、宮城県仙台市のせんだいメディアテーク「記憶と想起　イメージの家を歩く」展に参加します。2011年に被災地や仮設住宅で撮影した映像が6階ギャラリー4200で上映されます。詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『ホームレスごっこ』、札幌国際短編映画祭・オフシアター部門で上映されます！,2014-09-22,"2014年10月10日（金）、札幌国際短編映画祭・オフシアター部門にて、『ホームレスごっこ』が上映されます。札幌近郊の方はぜひご覧ください！　上映について、詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『踊る善福寺』＆『ホームレスごっこ』、映像女性学の会で上映されます！,2014-09-17,"2014年9月27日（土）18:30～、映像女性学の会主催で、『踊る善福寺』と『ホームレスごっこ』が上映されます。会場は渋谷女性センター・アイリス。入場無料（カンパ歓迎）。上映後に監督トークあり。是非いらしてください！詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『さようならUR』、多摩市にて上映されます！,2014-09-17,"2014年11月15日（土）、東京都多摩市にて『さようならUR』上映と監督との懇親会があります。主催は「たえのは！」（多摩映画好き飲んで話そう会）。上映は午後と夕方の2回（トークなし、入れ替え制）で、夜は監督を交え懇親会があります。久しぶりの『さようならUR』上映、タマ方面にお住まいの方は是非！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
「住み開き大阪511」にて関西インディペンデント映画事情イベントやります！,2014-09-03,"2014年9月12日（金）20:00～、大阪の「住み開き大阪511」というイベント＆宿泊スペースにて、関西のインディペンデント映画事情についてのイベントを開催します。題して、「関西のインディペンデント映画事情が知りたい！！ ～東京より早川由美子参ります～」！　詳しくは<a href=""http://brianandco.cocolog-nifty.com/blog/2014/09/jp-912511-ea48.html"" target=""_blank"">こちら</a>をご覧ください。関西の、インディペンデント映画に関わる人、映画大好きな人の参加をお待ちしております！"
『ホームレスごっこ』、第1回りべるたん映画祭で上映されます！,2014-08-24,"2014年8月30日（土）、『ホームレスごっこ』が第1回りべるたん映画祭で上映されます。主催は、<a href=""http://www.libertine-i.org/"" target=""_blank"">共同運営実験スペース・りべるたん</a>。他に、Chulayarnnon Siriphol監督『VHS～失われゆく水平線』（タイ・バンコク）、拓海福原監督『I Hate You』、松平耕一監督『にゃんにゃん党4部作』、江畠香希監督『カレが捕まっちゃった』、森政也監督の作品が上映されます。詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『ホームレスごっこ』、スプリット映画祭（クロアチア）にて上映されます！,2014-08-23,"2014年9月14日（日）、クロアチアの<a href=""http://www.splitfilmfestival.hr/index.php?option=com_content&view=article&id=970&Itemid=320&lang=en"" target=""_blank"">スプリット映画祭</a>短編コンペティション部門にて、『ホームレスごっこ』が上映されます。クロアチア方面にお知り合いのいらっしゃる方は是非お知らせください。英語字幕版の上映です。詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
